title|genre|year|totalrating|count
The Avengers|Action|2012|122|16
Toy Story|Animation|1995|112|14
The Matrix|SF|1999|95|12
Up|Drama|2014|75|10
Bohemian Rhapsody|Drama|2018|67.2|8
Shrek|Animation|2001|66|8
Gladiator|Action|2000|84.5|10
The Godfather|Crime|1972|70|9
Spider-Man: Into the Spider-Verse|Animation|2018|87.5|10
Seven|Crime|1995|78.5|9
Avatar|SF|2009|94.5|11
Leon|Crime|1994|73.5|9
Titanic|Romance|1997|14|2
Your Name|Animation|2016|68|8
Arrival|SF|2016|67.5|8
Pulp Fiction|Crime|1994|51|6
Forrest Gump|Drama|1994|33|4
The Truman Show|Drama|1998|35.5|4
Everything Everywhere All at Once|SF|2022|18.5|2
Whiplash|Drama|2014|34|4
The Dark Knight|Action|2008|43.5|5
Top Gun: Maverick|Action|2022|43.5|5
Fight Club|Drama|1999|53.5|6
Interstellar||2014|26.5|3
Iron Man 3|Action|2013|36.5|4
The Lord of the Rings|Fantasy|2001|54|6
The Shawshank Redemption|Drama|1994|44|5
Iron Man|Action|2008|45|5
Monsters, Inc.|Animation|2001|31|4
Django Unchained|Western|2012|23.5|3
Extreme Job|Comedy|2018|34|4
The Dark Knight Rises|Action|2012|44|5
Coco|Animation|2017|42.5|5
La La Land|Romance|2016|31.5|4
Inception|SF|2010|48.5|6
Parasite|Drama|2019|40|5
Spirited Away|Animation|2001|35|4
Grand Budapest Hotel|Comedy|2014|29|4
About Time|Romance|2013|44|5
The Lion King|Animation|1994|45|5
Mad Max: Fury Road|Action|2015|40.5|5
Schindler's List|Drama|1993|38.5|5
Tenet|SF|2020|41.5|5
Knives Out|Mystery|2019|40|5
Black Panther|Action|2018|56|6
Joker|Drama|2019|60.5|7
Dune|SF|2021|10|1
