userID|movieID|score
1|1|9
1|2|8.5
1|3|9.5
1|5|9.2
1|7|9
1|9|8
1|10|7.5
1|11|8
1|13|7
1|14|8
1|22|7.5
1|24|8.5
1|26|9
1|27|8.5
1|30|10
1|35|9
2|1|9
2|2|9
2|3|9
2|4|8.5
2|7|8.5
2|8|8
2|12|7.5
2|15|9.5
2|16|8
2|25|9
2|28|9.5
2|29|7
2|30|8
2|31|8.5
2|35|6
2|42|7
2|46|9
3|1|5
3|3|4
3|5|9.5
3|6|9
3|11|8.5
3|14|9
3|19|8.5
3|20|8
3|21|7.5
3|22|8
3|23|6.5
3|26|9
3|27|8.5
3|31|8.5
3|45|9.5
4|1|7
4|2|8.5
4|4|7.5
4|6|7.5
4|7|7.5
4|8|8
4|11|8
4|11|8
4|15|9
4|16|9.5
4|28|9
4|32|9
4|33|9.5
4|34|8
4|39|8.5
5|1|6.5
5|2|7
5|3|7.5
5|4|8
5|5|9
5|6|9.5
5|9|8.5
5|10|9
5|12|8
5|14|8.5
5|17|8
5|18|9
5|21|9.5
5|35|7.5
5|36|8.5
5|40|8.5
5|44|7
5|46|8.5
6|1|6
6|2|7
6|3|8
6|4|7.5
6|8|8
6|9|9
6|12|8.5
6|21|9
6|22|9.5
6|23|10
6|24|9
6|32|8.5
6|36|7.5
6|37|9
7|1|7.5
7|2|8.5
7|3|9
7|4|6.5
7|6|8
7|8|7
7|9|9.5
7|10|9.5
7|11|8
7|12|7
7|15|8
7|16|8.5
7|17|8.5
7|18|9
7|29|8.5
7|38|8
7|41|9
8|1|8.5
8|2|9
8|3|8
8|4|7
8|7|9.5
8|8|8.5
8|9|8
8|10|8.5
8|11|9
8|14|8.5
8|15|7.5
8|23|9
8|25|9
8|33|7.5
8|39|9.5
8|40|9
8|41|8.5
8|43|8
8|46|9.5
9|1|5
9|2|6
9|5|8
9|6|8.5
9|7|8.5
9|9|9
9|10|8.5
9|11|8.5
9|14|9.5
9|15|9
9|18|8
9|34|8
9|42|7.5
9|45|9.5
10|1|7
10|2|7.5
10|3|8
10|6|7.5
10|7|8.5
10|8|9
10|9|9.5
10|11|9
10|12|9
10|16|8
10|19|10
10|20|9.5
10|21|8.5
10|23|9
10|37|9
10|38|8.5
10|43|9
10|44|8.5
10|45|10
11|1|8
11|2|8.5
11|3|7
11|5|8.5
11|10|9
11|12|7.5
11|14|8
11|26|9
11|27|9.5
11|33|8.5
11|38|6
11|42|7.5
11|46|7
12|1|8
12|2|8.5
12|5|7.5
12|6|8
12|9|9
12|15|7.5
12|27|8.5
12|28|9
12|36|8
12|40|9.5
13|3|9
13|4|7
13|7|8.5
13|8|6.5
13|11|9.5
13|16|8.5
13|20|9
13|29|8
13|30|7.5
13|31|8.5
13|32|9
13|44|8
13|45|8.5
14|1|9
14|3|8.5
14|5|7.5
14|7|8
14|15|8.5
14|26|9.5
14|28|8.5
14|32|9
14|33|9
14|41|7
14|46|8
15|2|7
15|6|8
15|10|8.5
15|11|8.5
15|12|9
15|17|7.5
15|34|8
15|35|9.5
15|39|8.5
15|43|9
16|2|8.5
16|4|7
16|12|8
16|14|8
16|18|9.5
16|20|7.5
16|29|7.5
16|31|8.5
16|35|9
16|36|8.5
16|37|9
16|38|6.5
16|42|8
17|1|9.5
17|3|7.5
17|7|8
17|10|8.5
17|21|9
17|22|9.5
17|23|10
17|25|9
17|30|8
17|34|7.5
17|39|8.5
17|44|8.5
17|46|9
18|1|8
18|4|8
18|8|7.5
18|9|8.5
18|13|7
18|14|8.5
18|22|9
18|24|9
18|25|9.5
18|37|8
18|40|9.5
18|41|8
18|42|8.5
18|43|7
18|45|9
19|2|8.5
19|5|8
19|8|7.5
19|9|8.5
19|12|9
19|16|8.5
19|17|9
19|26|9.5
19|27|9
19|33|8
19|36|7.5
19|40|8.5
19|44|8
20|1|9
20|4|8
20|7|8.5
20|10|9.5
20|11|9.5
20|15|8.5
20|23|9
20|26|8
20|28|9
20|32|8.5
20|35|7.5
20|39|9
20|41|8
20|43|8.5
20|45|9.5
20|46|9.5
21|47|10
